D,S,ho,do,hc,hz,du,J,Q,Hi,y
25,200,15,6,42,125,10,3.43,5,2,3641.38
25,200,15,6,42,125,10,3.43,5,3,3251.42
25,200,15,6,42,125,10,3.43,5,4,1814.57
25,200,15,6,42,125,10,3.43,5,5,1916.81
25,200,15,6,42,125,10,3.43,5,6,761.54
25,200,15,6,42,125,10,3.43,5,7,907.12
25,200,15,6,42,125,10,3.43,5,8,1404.7
25,200,15,6,42,125,10,3.43,5,9,1705.9
25,200,15,6,42,125,10,3.43,5,10,2289.88
25,200,15,6,42,125,10,3.43,5,11,2763.32
25,200,15,6,42,125,10,3.43,5,12,3098.11
25,200,15,6,42,125,10,3.43,7.5,1,4709.29
25,200,15,6,42,125,10,3.43,7.5,2,5305.6
25,200,15,6,42,125,10,3.43,7.5,3,5379.03
25,200,15,6,42,125,10,3.43,7.5,4,4245.69
25,200,15,6,42,125,10,3.43,7.5,5,3512.2
25,200,15,6,42,125,10,3.43,7.5,6,3535.66
25,200,15,6,42,125,10,3.43,7.5,7,4209.2
25,200,15,6,42,125,10,3.43,7.5,8,4693.22
25,200,15,6,42,125,10,3.43,7.5,9,5978.9
25,200,15,6,42,125,10,3.43,7.5,10,7758.34
25,200,15,6,42,125,10,3.43,7.5,11,7718.1
25,200,15,6,42,125,10,3.43,7.5,12,7686.53
25,200,15,6,42,125,10,3.43,10,1,0
25,200,15,6,42,125,10,3.43,10,2,8938.13
25,200,15,6,42,125,10,3.43,10,3,8891.72
25,200,15,6,42,125,10,3.43,10,4,7419.06
25,200,15,6,42,125,10,3.43,10,5,7394.1
25,200,15,6,42,125,10,3.43,10,6,6568.61
25,200,15,6,42,125,10,3.43,10,7,4631.81
25,200,15,6,42,125,10,3.43,10,8,8141.08
25,200,15,6,42,125,10,3.43,10,9,11167.82
25,200,15,6,42,125,10,3.43,10,10,14417.09
25,200,15,6,42,125,10,3.43,10,11,16457.47
25,200,15,6,42,125,10,3.43,10,12,15169.04
75,1350,30,35,150,225,38,4.7,5,1,0
75,1350,30,35,150,225,38,4.7,5,2,4620.366258
75,1350,30,35,150,225,38,4.7,5,3,3916.198242
75,1350,30,35,150,225,38,4.7,5,4,3370.664992
75,1350,30,35,150,225,38,4.7,5,5,4050.485058
75,1350,30,35,150,225,38,4.7,5,6,3366.345996
75,1350,30,35,150,225,38,4.7,5,7,3916.41631
75,1350,30,35,150,225,38,4.7,5,8,4067.082422
75,1350,30,35,150,225,38,4.7,5,9,4627.13252
75,1350,30,35,150,225,38,4.7,5,10,4291.702438
75,1350,30,35,150,225,38,4.7,5,11,5710
75,1350,30,35,150,225,38,4.7,5,12,5590
75,1350,30,35,150,225,38,4.7,7.5,1,0
75,1350,30,35,150,225,38,4.7,7.5,2,7251.469628
75,1350,30,35,150,225,38,4.7,7.5,3,7512.50762
75,1350,30,35,150,225,38,4.7,7.5,4,6693.077442
75,1350,30,35,150,225,38,4.7,7.5,5,7309.711914
75,1350,30,35,150,225,38,4.7,7.5,6,7116.57549
75,1350,30,35,150,225,38,4.7,7.5,7,7439.927538
75,1350,30,35,150,225,38,4.7,7.5,8,8033.162792
75,1350,30,35,150,225,38,4.7,7.5,9,8714.514258
75,1350,30,35,150,225,38,4.7,7.5,10,8322.006444
75,1350,30,35,150,225,38,4.7,7.5,11,10200
75,1350,30,35,150,225,38,4.7,7.5,12,9280
75,1350,30,35,150,225,38,4.7,10,1,0
75,1350,30,35,150,225,38,4.7,10,2,9715.52919
75,1350,30,35,150,225,38,4.7,10,3,10189.20021
75,1350,30,35,150,225,38,4.7,10,4,10651.1619
75,1350,30,35,150,225,38,4.7,10,5,9574.843568
75,1350,30,35,150,225,38,4.7,10,6,11087.14632
75,1350,30,35,150,225,38,4.7,10,7,10093.24025
75,1350,30,35,150,225,38,4.7,10,8,11254.44978
75,1350,30,35,150,225,38,4.7,10,9,11937.27402
75,1350,30,35,150,225,38,4.7,10,10,12069.32012
75,1350,30,35,150,225,38,4.7,10,11,14000
